"Vendor","Model","Attributes","Value"
"apollo","dn420","ERP",24
"basf","7/65","CACH",65
"basf","7/65","CHMIN",1
"basf","7/65","CHMAX",8
"basf","7/65","PRP",92
"basf","7/65","ERP",70
"basf","7/68","CACH",65
"basf","7/68","CHMIN",1
"basf","7/68","CHMAX",8
"basf","7/68","PRP",138
"basf","7/68","ERP",117
"bti","5000","CACH",0
"bti","5000","CHMIN",1
"bti","5000","CHMAX",4
"bti","5000","PRP",10
"bti","5000","ERP",15
"bti","8000","CACH",0
"bti","8000","CHMIN",4
"bti","8000","CHMAX",32
"bti","8000","PRP",35
"bti","8000","ERP",64
"burroughs","b1955","CACH",8
"burroughs","b1955","CHMIN",4
"burroughs","b1955","CHMAX",15
"burroughs","b1955","PRP",19
"burroughs","b1955","ERP",23
"burroughs","b2900","CACH",0
"burroughs","b2900","CHMIN",7
"burroughs","b2900","CHMAX",32
"burroughs","b2900","PRP",28
"burroughs","b2900","ERP",29
"burroughs","b2925","CACH",0
"burroughs","b2925","CHMIN",5
"burroughs","b2925","CHMAX",16
"burroughs","b2925","PRP",31
"burroughs","b2925","ERP",22
"burroughs","b4955","CACH",142
"burroughs","b4955","CHMIN",8
"burroughs","b4955","CHMAX",64
"burroughs","b4955","PRP",120
"burroughs","b4955","ERP",124
"burroughs","b5900","CACH",0
"burroughs","b5900","CHMIN",5
"burroughs","b5900","CHMAX",32
"burroughs","b5900","PRP",30
"burroughs","b5900","ERP",35
"burroughs","b5920","CACH",0
"burroughs","b5920","CHMIN",5
"burroughs","b5920","CHMAX",20
"burroughs","b5920","PRP",33
"burroughs","b5920","ERP",39
"burroughs","b6900","CACH",0
"burroughs","b6900","CHMIN",6
"burroughs","b6900","CHMAX",64
"burroughs","b6900","PRP",61
"burroughs","b6900","ERP",40
"burroughs","b6925","CACH",0
"burroughs","b6925","CHMIN",6
"burroughs","b6925","CHMAX",64
"burroughs","b6925","PRP",76
"burroughs","b6925","ERP",45
"c.r.d","68/10-80","CACH",0
"c.r.d","68/10-80","CHMIN",1
"c.r.d","68/10-80","CHMAX",12
"c.r.d","68/10-80","PRP",23
"c.r.d","68/10-80","ERP",28
"c.r.d","universe:2203t","CACH",4
"c.r.d","universe:2203t","CHMIN",1
"c.r.d","universe:2203t","CHMAX",3
"c.r.d","universe:2203t","PRP",69
"c.r.d","universe:2203t","ERP",21
"c.r.d","universe:68","CACH",0
"c.r.d","universe:68","CHMIN",1
"c.r.d","universe:68","CHMAX",6
"c.r.d","universe:68","PRP",33
"c.r.d","universe:68","ERP",28
"c.r.d","universe:68/05","CACH",4
"c.r.d","universe:68/05","CHMIN",1
"c.r.d","universe:68/05","CHMAX",3
"c.r.d","universe:68/05","PRP",27
"c.r.d","universe:68/05","ERP",22
"c.r.d","universe:68/137","CACH",4
"c.r.d","universe:68/137","CHMIN",1
"c.r.d","universe:68/137","CHMAX",5
"c.r.d","universe:68/137","PRP",77
"c.r.d","universe:68/137","ERP",28
"c.r.d","universe:68/37","CACH",4
"c.r.d","universe:68/37","CHMIN",1
"c.r.d","universe:68/37","CHMAX",6
"c.r.d","universe:68/37","PRP",27
"c.r.d","universe:68/37","ERP",27
"cambex","1636-1","CACH",8
"cambex","1636-1","CHMIN",3
"cambex","1636-1","CHMAX",5
"cambex","1636-1","PRP",26
"cambex","1636-1","ERP",30
"cambex","1636-10","CACH",8
"cambex","1636-10","CHMIN",3
"cambex","1636-10","CHMAX",5
"cambex","1636-10","PRP",36
"cambex","1636-10","ERP",41
"cambex","1641-1","CACH",8
"cambex","1641-1","CHMIN",3
"cambex","1641-1","CHMAX",5
"cambex","1641-1","PRP",40
"cambex","1641-1","ERP",74
"cambex","1641-11","CACH",8
"cambex","1641-11","CHMIN",3
"cambex","1641-11","CHMAX",6
"cambex","1641-11","PRP",52
"cambex","1641-11","ERP",74
"cambex","1651-1","CACH",8
"cambex","1651-1","CHMIN",3
"cambex","1651-1","CHMAX",6
"cambex","1651-1","PRP",60
"cambex","1651-1","ERP",74
"cdc","cyber:170/750","CACH",131
"cdc","cyber:170/750","CHMIN",12
"cdc","cyber:170/750","CHMAX",24
"cdc","cyber:170/750","PRP",274
"cdc","cyber:170/750","ERP",102
"cdc","cyber:170/760","CACH",131
"cdc","cyber:170/760","CHMIN",12
"cdc","cyber:170/760","CHMAX",24
"cdc","cyber:170/760","PRP",368
"cdc","cyber:170/760","ERP",102
"cdc","cyber:170/815","CACH",30
"cdc","cyber:170/815","CHMIN",12
"cdc","cyber:170/815","CHMAX",24
"cdc","cyber:170/815","PRP",32
"cdc","cyber:170/815","ERP",74
"cdc","cyber:170/825","CACH",30
"cdc","cyber:170/825","CHMIN",12
"cdc","cyber:170/825","CHMAX",24
"cdc","cyber:170/825","PRP",63
"cdc","cyber:170/825","ERP",74
"cdc","cyber:170/835","CACH",30
"cdc","cyber:170/835","CHMIN",12
"cdc","cyber:170/835","CHMAX",24
"cdc","cyber:170/835","PRP",106
"cdc","cyber:170/835","ERP",138
"cdc","cyber:170/845","CACH",30
"cdc","cyber:170/845","CHMIN",12
"cdc","cyber:170/845","CHMAX",24
"cdc","cyber:170/845","PRP",208
"cdc","cyber:170/845","ERP",136
"cdc","omega:480-i","CACH",8
"cdc","omega:480-i","CHMIN",1
"cdc","omega:480-i","CHMAX",4
"cdc","omega:480-i","PRP",20
"cdc","omega:480-i","ERP",23
"cdc","omega:480-ii","CACH",8
"cdc","omega:480-ii","CHMIN",1
"cdc","omega:480-ii","CHMAX",5
"cdc","omega:480-ii","PRP",29
"cdc","omega:480-ii","ERP",29
"cdc","omega:480-iii","CACH",8
"cdc","omega:480-iii","CHMIN",1
"cdc","omega:480-iii","CHMAX",5
"cdc","omega:480-iii","PRP",71
"cdc","omega:480-iii","ERP",44
"dec","decsys:10:1091","CACH",9
"dec","decsys:10:1091","CHMIN",3
"dec","decsys:10:1091","CHMAX",12
"dec","decsys:10:1091","PRP",72
"dec","decsys:10:1091","ERP",54
"dec","decsys:20:2060","CACH",9
"dec","decsys:20:2060","CHMIN",3
"dec","decsys:20:2060","CHMAX",12
"dec","decsys:20:2060","PRP",72
"dec","decsys:20:2060","ERP",41
"dec","microvax-1","CACH",8
"dec","microvax-1","CHMIN",1
"dec","microvax-1","CHMAX",1
"dec","microvax-1","PRP",18
"dec","microvax-1","ERP",18
"dec","vax:11/730","CACH",0
"dec","vax:11/730","CHMIN",1
"dec","vax:11/730","CHMAX",1
"dec","vax:11/730","PRP",20
"dec","vax:11/730","ERP",28
"dec","vax:11/750","CACH",4
"dec","vax:11/750","CHMIN",1
"dec","vax:11/750","CHMAX",5
"dec","vax:11/750","PRP",40
"dec","vax:11/750","ERP",36
"dec","vax:11/780","CACH",8
"dec","vax:11/780","CHMIN",1
"dec","vax:11/780","CHMAX",8
"dec","vax:11/780","PRP",62
"dec","vax:11/780","ERP",38
"dg","eclipse:c/350","CACH",0
"dg","eclipse:c/350","CHMIN",1
"dg","eclipse:c/350","CHMAX",1
"dg","eclipse:c/350","PRP",24
"dg","eclipse:c/350","ERP",34
"dg","eclipse:m/600","CACH",0
"dg","eclipse:m/600","CHMIN",1
"dg","eclipse:m/600","CHMAX",1
"dg","eclipse:m/600","PRP",24
"dg","eclipse:m/600","ERP",19
"dg","eclipse:mv/10000","CACH",16
"dg","eclipse:mv/10000","CHMIN",1
"dg","eclipse:mv/10000","CHMAX",3
"dg","eclipse:mv/10000","PRP",138
"dg","eclipse:mv/10000","ERP",72
"dg","eclipse:mv/4000","CACH",0
"dg","eclipse:mv/4000","CHMIN",1
"dg","eclipse:mv/4000","CHMAX",2
"dg","eclipse:mv/4000","PRP",36
"dg","eclipse:mv/4000","ERP",36
"dg","eclipse:mv/6000","CACH",16
"dg","eclipse:mv/6000","CHMIN",1
"dg","eclipse:mv/6000","CHMAX",2
"dg","eclipse:mv/6000","PRP",26
"dg","eclipse:mv/6000","ERP",30
"dg","eclipse:mv/8000","CACH",16
"dg","eclipse:mv/8000","CHMIN",1
"dg","eclipse:mv/8000","CHMAX",2
"dg","eclipse:mv/8000","PRP",60
"dg","eclipse:mv/8000","ERP",56
"dg","eclipse:mv/8000-ii","CACH",16
"dg","eclipse:mv/8000-ii","CHMIN",1
"dg","eclipse:mv/8000-ii","CHMAX",2
"dg","eclipse:mv/8000-ii","PRP",71
"dg","eclipse:mv/8000-ii","ERP",42
"formation","f4000/100","CACH",0
"formation","f4000/100","CHMIN",1
"formation","f4000/100","CHMAX",4
"formation","f4000/100","PRP",12
"formation","f4000/100","ERP",34
"formation","f4000/200","CACH",0
"formation","f4000/200","CHMIN",1
"formation","f4000/200","CHMAX",4
"formation","f4000/200","PRP",14
"formation","f4000/200","ERP",34
"formation","f4000/200ap","CACH",0
"formation","f4000/200ap","CHMIN",1
"formation","f4000/200ap","CHMAX",4
"formation","f4000/200ap","PRP",20
"formation","f4000/200ap","ERP",34
"formation","f4000/300","CACH",0
"formation","f4000/300","CHMIN",1
"formation","f4000/300","CHMAX",4
"formation","f4000/300","PRP",16
"formation","f4000/300","ERP",34
"formation","f4000/300ap","CACH",0
"formation","f4000/300ap","CHMIN",1
"formation","f4000/300ap","CHMAX",4
"formation","f4000/300ap","PRP",22
"formation","f4000/300ap","ERP",34
"four-phase","2000/260","CACH",0
"four-phase","2000/260","CHMIN",8
"four-phase","2000/260","CHMAX",20
"four-phase","2000/260","PRP",36
"four-phase","2000/260","ERP",19
"gould","concept:32/8705","CACH",64
"gould","concept:32/8705","CHMIN",1
"gould","concept:32/8705","CHMAX",38
"gould","concept:32/8705","PRP",144
"gould","concept:32/8705","ERP",75
"gould","concept:32/8750","CACH",64
"gould","concept:32/8750","CHMIN",1
"gould","concept:32/8750","CHMAX",38
"gould","concept:32/8750","PRP",144
"gould","concept:32/8750","ERP",113
"gould","concept:32/8780","CACH",128
"gould","concept:32/8780","CHMIN",1
"gould","concept:32/8780","CHMAX",38
"gould","concept:32/8780","PRP",259
"gould","concept:32/8780","ERP",157
"harris","100","CACH",0
"harris","100","CHMIN",6
"harris","100","CHMAX",24
"harris","100","PRP",36
"harris","100","ERP",23
"harris","300","CACH",6
"harris","300","CHMIN",6
"harris","300","CHMAX",24
"harris","300","PRP",44
"harris","300","ERP",25
"harris","500","CACH",6
"harris","500","CHMIN",6
"harris","500","CHMAX",24
"harris","500","PRP",50
"harris","500","ERP",52
"harris","600","CACH",0
"harris","600","CHMIN",1
"harris","600","CHMAX",24
"harris","600","PRP",45
"harris","600","ERP",27
"harris","700","CACH",6
"harris","700","CHMIN",1
"harris","700","CHMAX",24
"harris","700","PRP",53
"harris","700","ERP",50
"harris","80","CACH",6
"harris","80","CHMIN",6
"harris","80","CHMAX",24
"harris","80","PRP",36
"harris","80","ERP",18
"harris","800","CACH",6
"harris","800","CHMIN",1
"harris","800","CHMAX",31
"harris","800","PRP",84
"harris","800","ERP",53
"honeywell","dps:6/35","CACH",0
"honeywell","dps:6/35","CHMIN",2
"honeywell","dps:6/35","CHMAX",4
"honeywell","dps:6/35","PRP",16
"honeywell","dps:6/35","ERP",23
"honeywell","dps:6/92","CACH",8
"honeywell","dps:6/92","CHMIN",3
"honeywell","dps:6/92","CHMAX",64
"honeywell","dps:6/92","PRP",38
"honeywell","dps:6/92","ERP",30
"honeywell","dps:6/96","CACH",8
"honeywell","dps:6/96","CHMIN",2
"honeywell","dps:6/96","CHMAX",112
"honeywell","dps:6/96","PRP",38
"honeywell","dps:6/96","ERP",73
"honeywell","dps:7/35","CACH",0
"honeywell","dps:7/35","CHMIN",1
"honeywell","dps:7/35","CHMAX",2
"honeywell","dps:7/35","PRP",16
"honeywell","dps:7/35","ERP",20
"honeywell","dps:7/45","CACH",0
"honeywell","dps:7/45","CHMIN",3
"honeywell","dps:7/45","CHMAX",6
"honeywell","dps:7/45","PRP",22
"honeywell","dps:7/45","ERP",25
"honeywell","dps:7/55","CACH",0
"honeywell","dps:7/55","CHMIN",3
"honeywell","dps:7/55","CHMAX",6
"honeywell","dps:7/55","PRP",29
"honeywell","dps:7/55","ERP",28
"honeywell","dps:7/65","CACH",0
"honeywell","dps:7/65","CHMIN",4
"honeywell","dps:7/65","CHMAX",8
"honeywell","dps:7/65","PRP",40
"honeywell","dps:7/65","ERP",29
"honeywell","dps:8/20","CACH",8
"honeywell","dps:8/20","CHMIN",1
"honeywell","dps:8/20","CHMAX",20
"honeywell","dps:8/20","PRP",22
"honeywell","dps:8/20","ERP",32
"honeywell","dps:8/44","CACH",8
"honeywell","dps:8/44","CHMIN",1
"honeywell","dps:8/44","CHMAX",20
"honeywell","dps:8/44","PRP",35
"honeywell","dps:8/44","ERP",32
"honeywell","dps:8/49","CACH",32
"honeywell","dps:8/49","CHMIN",1
"honeywell","dps:8/49","CHMAX",20
"honeywell","dps:8/49","PRP",134
"honeywell","dps:8/49","ERP",175
"honeywell","dps:8/50","CACH",32
"honeywell","dps:8/50","CHMIN",1
"honeywell","dps:8/50","CHMAX",54
"honeywell","dps:8/50","PRP",66
"honeywell","dps:8/50","ERP",57
"honeywell","dps:8/52","CACH",32
"honeywell","dps:8/52","CHMIN",1
"honeywell","dps:8/52","CHMAX",54
"honeywell","dps:8/52","PRP",141
"honeywell","dps:8/52","ERP",181
"honeywell","dps:8/62","CACH",32
"honeywell","dps:8/62","CHMIN",1
"honeywell","dps:8/62","CHMAX",54
"honeywell","dps:8/62","PRP",189
"honeywell","dps:8/62","ERP",181
"hp","3000/30","CACH",0
"hp","3000/30","CHMIN",3
"hp","3000/30","CHMAX",10
"hp","3000/30","PRP",17
"hp","3000/30","ERP",18
"hp","3000/40","CACH",0
"hp","3000/40","CHMIN",3
"hp","3000/40","CHMAX",10
"hp","3000/40","PRP",26
"hp","3000/40","ERP",20
"hp","3000/44","CACH",0
"hp","3000/44","CHMIN",3
"hp","3000/44","CHMAX",24
"hp","3000/44","PRP",32
"hp","3000/44","ERP",28
"hp","3000/48","CACH",8
"hp","3000/48","CHMIN",3
"hp","3000/48","CHMAX",19
"hp","3000/48","PRP",32
"hp","3000/48","ERP",33
"hp","3000/64","CACH",8
"hp","3000/64","CHMIN",3
"hp","3000/64","CHMAX",24
"hp","3000/64","PRP",62
"hp","3000/64","ERP",47
"hp","3000/88","CACH",8
"hp","3000/88","CHMIN",3
"hp","3000/88","CHMAX",48
"hp","3000/88","PRP",64
"hp","3000/88","ERP",54
"hp","3000/iii","CACH",0
"hp","3000/iii","CHMIN",3
"hp","3000/iii","CHMAX",24
"hp","3000/iii","PRP",22
"hp","3000/iii","ERP",20
"ibm","3033:s","CACH",1
"ibm","3033:s","CHMIN",6
"ibm","3033:s","CHMAX",12
"ibm","3033:s","PRP",132
"ibm","3033:s","ERP",82
"ibm","3033:u","CACH",64
"ibm","3033:u","CHMIN",12
"ibm","3033:u","CHMAX",16
"ibm","3033:u","PRP",237
"ibm","3033:u","ERP",171
"ibm","3081","CACH",64
"ibm","3081","CHMIN",16
"ibm","3081","CHMAX",24
"ibm","3081","PRP",465
"ibm","3081","ERP",361
"ibm","3081:d","CACH",64
"ibm","3081:d","CHMIN",8
"ibm","3081:d","CHMAX",24
"ibm","3081:d","PRP",465
"ibm","3081:d","ERP",350
"ibm","3083:b","CACH",0
"ibm","3083:b","CHMIN",8
"ibm","3083:b","CHMAX",24
"ibm","3083:b","PRP",277
"ibm","3083:b","ERP",220
"ibm","3083:e","CACH",0
"ibm","3083:e","CHMIN",8
"ibm","3083:e","CHMAX",16
"ibm","3083:e","PRP",185
"ibm","3083:e","ERP",113
"ibm","370/125-2","CACH",0
"ibm","370/125-2","CHMIN",1
"ibm","370/125-2","CHMAX",1
"ibm","370/125-2","PRP",6
"ibm","370/125-2","ERP",15
"ibm","370/148","CACH",0
"ibm","370/148","CHMIN",1
"ibm","370/148","CHMAX",5
"ibm","370/148","PRP",24
"ibm","370/148","ERP",21
"ibm","370/158-3","CACH",16
"ibm","370/158-3","CHMIN",1
"ibm","370/158-3","CHMAX",6
"ibm","370/158-3","PRP",45
"ibm","370/158-3","ERP",35
"ibm","38/3","CACH",0
"ibm","38/3","CHMIN",1
"ibm","38/3","CHMAX",1
"ibm","38/3","PRP",7
"ibm","38/3","ERP",18
"ibm","38/4","CACH",0
"ibm","38/4","CHMIN",1
"ibm","38/4","CHMAX",1
"ibm","38/4","PRP",13
"ibm","38/4","ERP",20
"ibm","38/5","CACH",0
"ibm","38/5","CHMIN",1
"ibm","38/5","CHMAX",1
"ibm","38/5","PRP",16
"ibm","38/5","ERP",20
"ibm","38/7","CACH",0
"ibm","38/7","CHMIN",1
"ibm","38/7","CHMAX",1
"ibm","38/7","PRP",32
"ibm","38/7","ERP",28
"ibm","38/8","CACH",0
"ibm","38/8","CHMIN",1
"ibm","38/8","CHMAX",1
"ibm","38/8","PRP",32
"ibm","38/8","ERP",45
"ibm","4321","CACH",0
"ibm","4321","CHMIN",1
"ibm","4321","CHMAX",2
"ibm","4321","PRP",11
"ibm","4321","ERP",18
"ibm","4331-1","CACH",0
"ibm","4331-1","CHMIN",1
"ibm","4331-1","CHMAX",2
"ibm","4331-1","PRP",11
"ibm","4331-1","ERP",17
"ibm","4331-11","CACH",4
"ibm","4331-11","CHMIN",1
"ibm","4331-11","CHMAX",2
"ibm","4331-11","PRP",18
"ibm","4331-11","ERP",26
"ibm","4331-2","CACH",8
"ibm","4331-2","CHMIN",1
"ibm","4331-2","CHMAX",2
"ibm","4331-2","PRP",22
"ibm","4331-2","ERP",28
"ibm","4341","CACH",0
"ibm","4341","CHMIN",3
"ibm","4341","CHMAX",6
"ibm","4341","PRP",37
"ibm","4341","ERP",28
"ibm","4341-1","CACH",8
"ibm","4341-1","CHMIN",3
"ibm","4341-1","CHMAX",6
"ibm","4341-1","PRP",40
"ibm","4341-1","ERP",31
"ibm","4341-10","CACH",8
"ibm","4341-10","CHMIN",3
"ibm","4341-10","CHMAX",6
"ibm","4341-10","PRP",34
"ibm","4341-10","ERP",31
"ibm","4341-11","CACH",8
"ibm","4341-11","CHMIN",1
"ibm","4341-11","CHMAX",6
"ibm","4341-11","PRP",50
"ibm","4341-11","ERP",42
"ibm","4341-12","CACH",16
"ibm","4341-12","CHMIN",1
"ibm","4341-12","CHMAX",6
"ibm","4341-12","PRP",76
"ibm","4341-12","ERP",76
"ibm","4341-2","CACH",16
"ibm","4341-2","CHMIN",1
"ibm","4341-2","CHMAX",6
"ibm","4341-2","PRP",66
"ibm","4341-2","ERP",76
"ibm","4341-9","CACH",2
"ibm","4341-9","CHMIN",3
"ibm","4341-9","CHMAX",6
"ibm","4341-9","PRP",24
"ibm","4341-9","ERP",26
"ibm","4361-4","CACH",8
"ibm","4361-4","CHMIN",1
"ibm","4361-4","CHMAX",4
"ibm","4361-4","PRP",49
"ibm","4361-4","ERP",59
"ibm","4361-5","CACH",16
"ibm","4361-5","CHMIN",3
"ibm","4361-5","CHMAX",5
"ibm","4361-5","PRP",66
"ibm","4361-5","ERP",65
"ibm","4381-1","CACH",8
"ibm","4381-1","CHMIN",6
"ibm","4381-1","CHMAX",12
"ibm","4381-1","PRP",100
"ibm","4381-1","ERP",101
"ibm","4381-2","CACH",32
"ibm","4381-2","CHMIN",6
"ibm","4381-2","CHMAX",12
"ibm","4381-2","PRP",133
"ibm","4381-2","ERP",116
"ibm","8130-a","CACH",0
"ibm","8130-a","CHMIN",0
"ibm","8130-a","CHMAX",0
"ibm","8130-a","PRP",12
"ibm","8130-a","ERP",18
"ibm","8130-b","CACH",0
"ibm","8130-b","CHMIN",0
"ibm","8130-b","CHMAX",0
"ibm","8130-b","PRP",18
"ibm","8130-b","ERP",20
"ibm","8140","CACH",0
"ibm","8140","CHMIN",0
"ibm","8140","CHMAX",0
"ibm","8140","PRP",20
"ibm","8140","ERP",20
"ipl","4436","CACH",0
"ipl","4436","CHMIN",3
"ipl","4436","CHMAX",6
"ipl","4436","PRP",27
"ipl","4436","ERP",30
"ipl","4443","CACH",8
"ipl","4443","CHMIN",3
"ipl","4443","CHMAX",6
"ipl","4443","PRP",45
"ipl","4443","ERP",44
"ipl","4445","CACH",8
"ipl","4445","CHMIN",1
"ipl","4445","CHMAX",6
"ipl","4445","PRP",56
"ipl","4445","ERP",44
"ipl","4446","CACH",24
"ipl","4446","CHMIN",1
"ipl","4446","CHMAX",6
"ipl","4446","PRP",70
"ipl","4446","ERP",82
"ipl","4460","CACH",24
"ipl","4460","CHMIN",1
"ipl","4460","CHMAX",6
"ipl","4460","PRP",80
"ipl","4460","ERP",82
"ipl","4480","CACH",48
"ipl","4480","CHMIN",1
"ipl","4480","CHMAX",10
"ipl","4480","PRP",136
"ipl","4480","ERP",128
"magnuson","m80/30","CACH",0
"magnuson","m80/30","CHMIN",2
"magnuson","m80/30","CHMAX",6
"magnuson","m80/30","PRP",16
"magnuson","m80/30","ERP",37
"magnuson","m80/31","CACH",24
"magnuson","m80/31","CHMIN",2
"magnuson","m80/31","CHMAX",6
"magnuson","m80/31","PRP",26
"magnuson","m80/31","ERP",46
"magnuson","m80/32","CACH",24
"magnuson","m80/32","CHMIN",3
"magnuson","m80/32","CHMAX",6
"magnuson","m80/32","PRP",32
"magnuson","m80/32","ERP",46
"magnuson","m80/42","CACH",12
"magnuson","m80/42","CHMIN",3
"magnuson","m80/42","CHMAX",16
"magnuson","m80/42","PRP",45
"magnuson","m80/42","ERP",80
"magnuson","m80/43","CACH",24
"magnuson","m80/43","CHMIN",6
"magnuson","m80/43","CHMAX",16
"magnuson","m80/43","PRP",54
"magnuson","m80/43","ERP",88
"magnuson","m80/44","CACH",24
"magnuson","m80/44","CHMIN",6
"magnuson","m80/44","CHMAX",16
"magnuson","m80/44","PRP",65
"magnuson","m80/44","ERP",88
"microdata","seq.ms/3200","CACH",0
"microdata","seq.ms/3200","CHMIN",8
"microdata","seq.ms/3200","CHMAX",128
"microdata","seq.ms/3200","PRP",30
"microdata","seq.ms/3200","ERP",33
"nas","as/3000","CACH",16
"nas","as/3000","CHMIN",1
"nas","as/3000","CHMAX",3
"nas","as/3000","PRP",50
"nas","as/3000","ERP",46
"nas","as/3000-n","CACH",2
"nas","as/3000-n","CHMIN",1
"nas","as/3000-n","CHMAX",5
"nas","as/3000-n","PRP",40
"nas","as/3000-n","ERP",29
"nas","as/5000","CACH",32
"nas","as/5000","CHMIN",1
"nas","as/5000","CHMAX",6
"nas","as/5000","PRP",62
"nas","as/5000","ERP",53
"nas","as/5000-e","CACH",32
"nas","as/5000-e","CHMIN",1
"nas","as/5000-e","CHMAX",6
"nas","as/5000-e","PRP",60
"nas","as/5000-e","ERP",53
"nas","as/5000-n","CACH",4
"nas","as/5000-n","CHMIN",1
"nas","as/5000-n","CHMAX",6
"nas","as/5000-n","PRP",50
"nas","as/5000-n","ERP",41
"nas","as/6130","CACH",16
"nas","as/6130","CHMIN",1
"nas","as/6130","CHMAX",6
"nas","as/6130","PRP",66
"nas","as/6130","ERP",86
"nas","as/6150","CACH",32
"nas","as/6150","CHMIN",1
"nas","as/6150","CHMAX",6
"nas","as/6150","PRP",86
"nas","as/6150","ERP",95
"nas","as/6620","CACH",64
"nas","as/6620","CHMIN",5
"nas","as/6620","CHMAX",8
"nas","as/6620","PRP",74
"nas","as/6620","ERP",107
"nas","as/6630","CACH",64
"nas","as/6630","CHMIN",5
"nas","as/6630","CHMAX",8
"nas","as/6630","PRP",93
"nas","as/6630","ERP",117
"nas","as/6650","CACH",64
"nas","as/6650","CHMIN",5
"nas","as/6650","CHMAX",10
"nas","as/6650","PRP",111
"nas","as/6650","ERP",119
"nas","as/7000","CACH",64
"nas","as/7000","CHMIN",8
"nas","as/7000","CHMAX",16
"nas","as/7000","PRP",143
"nas","as/7000","ERP",120
"nas","as/7000-n","CACH",16
"nas","as/7000-n","CHMIN",6
"nas","as/7000-n","CHMAX",8
"nas","as/7000-n","PRP",105
"nas","as/7000-n","ERP",48
"nas","as/8040","CACH",32
"nas","as/8040","CHMIN",8
"nas","as/8040","CHMAX",16
"nas","as/8040","PRP",214
"nas","as/8040","ERP",126
"nas","as/8050","CACH",64
"nas","as/8050","CHMIN",8
"nas","as/8050","CHMAX",24
"nas","as/8050","PRP",277
"nas","as/8050","ERP",266
"nas","as/8060","CACH",64
"nas","as/8060","CHMIN",8
"nas","as/8060","CHMAX",24
"nas","as/8060","PRP",370
"nas","as/8060","ERP",270
"nas","as/9000-dpc","CACH",128
"nas","as/9000-dpc","CHMIN",16
"nas","as/9000-dpc","CHMAX",32
"nas","as/9000-dpc","PRP",510
"nas","as/9000-dpc","ERP",426
"nas","as/9000-n","CACH",32
"nas","as/9000-n","CHMIN",8
"nas","as/9000-n","CHMAX",24
"nas","as/9000-n","PRP",214
"nas","as/9000-n","ERP",151
"nas","as/9040","CACH",64
"nas","as/9040","CHMIN",8
"nas","as/9040","CHMAX",24
"nas","as/9040","PRP",326
"nas","as/9040","ERP",267
"nas","as/9060","CACH",256
"nas","as/9060","CHMIN",16
"nas","as/9060","CHMAX",24
"nas","as/9060","PRP",510
"nas","as/9060","ERP",603
"ncr","v8535:ii","CACH",0
"ncr","v8535:ii","CHMIN",1
"ncr","v8535:ii","CHMAX",4
"ncr","v8535:ii","PRP",8
"ncr","v8535:ii","ERP",19
"ncr","v8545:ii","CACH",0
"ncr","v8545:ii","CHMIN",1
"ncr","v8545:ii","CHMAX",6
"ncr","v8545:ii","PRP",12
"ncr","v8545:ii","ERP",21
"ncr","v8555:ii","CACH",0
"ncr","v8555:ii","CHMIN",1
"ncr","v8555:ii","CHMAX",6
"ncr","v8555:ii","PRP",17
"ncr","v8555:ii","ERP",26
"ncr","v8565:ii","CACH",0
"ncr","v8565:ii","CHMIN",1
"ncr","v8565:ii","CHMAX",8
